Timestamp,SpO2,Heart Rate,HR Confidence,HR Interval,Respiration (HR Variance),Respiration (Oxygen),Temperature,Interpolation SpO2
07.03.2018 15:35:11.193,,,,,,,28.168,
07.03.2018 15:35:16.207,,,,,,,28.2734,
07.03.2018 15:35:21.220,,,,,,,28.457,
07.03.2018 15:35:26.191,,,,,,,28.6523,
07.03.2018 15:35:31.201,,,,,,,28.8516,
07.03.2018 15:35:36.210,,,,,,,29.0039,
07.03.2018 15:35:36.694,,68.9018,,,,,,
07.03.2018 15:35:41.189,,,,,,,29.168,
07.03.2018 15:35:41.701,,62.6598,,,,,,
07.03.2018 15:35:41.705,92.0,,,,,,,
07.03.2018 15:35:46.208,,,,,,,29.3008,
07.03.2018 15:35:46.693,95.144,,,,,,,
07.03.2018 15:35:51.218,,,,,,,29.4102,
07.03.2018 15:35:51.695,95.144,,,,,,,
07.03.2018 15:35:56.201,,,,,,,29.5586,
07.03.2018 15:36:01.200,,,,,,,29.6406,
07.03.2018 15:36:01.697,,63.3217,,,,,,
07.03.2018 15:36:01.703,,,,,21.7668,,,
07.03.2018 15:36:06.208,,,,,,,29.7422,
07.03.2018 15:36:06.692,,58.5777,,,,,,
07.03.2018 15:36:06.697,,,,,20.1361,,,
07.03.2018 15:36:06.718,95.7338,,,,,,,
07.03.2018 15:36:11.188,,,,,,,29.8203,
07.03.2018 15:36:11.695,,60.5501,,,,,,
07.03.2018 15:36:11.701,,,,,11.9202,,,
07.03.2018 15:36:11.704,96.6314,,,,,,,
07.03.2018 15:36:16.198,,,,,,,29.9023,
07.03.2018 15:36:16.693,,61.7985,,,,,,
07.03.2018 15:36:16.715,,,,,17.8786,,,
07.03.2018 15:36:16.718,96.0239,,,,,,,
07.03.2018 15:36:21.210,,,,,,,29.9883,
07.03.2018 15:36:21.695,,63.0995,,,,,,
07.03.2018 15:36:21.700,,,,,17.9343,,,
07.03.2018 15:36:21.703,96.2483,,,,,,,
07.03.2018 15:36:26.196,,,,,,,30.0781,
07.03.2018 15:36:26.692,,62.0116,,,,,,
07.03.2018 15:36:26.711,,,,,17.4408,,,
07.03.2018 15:36:26.714,98.9218,,,,,,,
07.03.2018 15:36:31.228,,,,,,,30.1367,
07.03.2018 15:36:31.693,,65.3941,,,,,,
07.03.2018 15:36:31.698,,,,,18.3921,,,
07.03.2018 15:36:31.700,98.4696,,,,,,,
07.03.2018 15:36:36.207,,,,,,,30.2188,
07.03.2018 15:36:36.691,,64.2263,,,,,,
07.03.2018 15:36:36.710,,,,,18.0636,,,
07.03.2018 15:36:36.712,97.7679,,,,,,,
07.03.2018 15:36:41.187,,,,,,,30.2852,
07.03.2018 15:36:41.693,100.0,,,,,,,
07.03.2018 15:36:46.198,,,,,,,30.332,
07.03.2018 15:36:46.690,100.0,,,,,,,
07.03.2018 15:36:51.211,,,,,,,30.4023,
07.03.2018 15:36:56.191,,,,,,,30.457,
07.03.2018 15:37:01.211,,,,,,,30.5039,
07.03.2018 15:37:06.206,,,,,,,30.5703,
07.03.2018 15:37:06.703,,59.9446,,,,,,
07.03.2018 15:37:11.185,,,,,,,30.6172,
07.03.2018 15:37:11.692,,59.7454,,,,,,
07.03.2018 15:37:11.696,94.6798,,,,,,,
07.03.2018 15:37:16.195,,,,,,,30.6602,
07.03.2018 15:37:16.704,,59.7454,,,,,,
07.03.2018 15:37:16.708,94.7599,,,,,,,
07.03.2018 15:37:21.210,,,,,,,30.7148,
07.03.2018 15:37:21.688,95.1593,,,,,,,
07.03.2018 15:37:26.185,,,,,,,30.7695,
07.03.2018 15:37:26.699,95.1593,,,,,,,
